Sno,Movie_Name,Duration_min,Year,Ratings,Metascore,Director1,Director2,Director3,Director4,Director5,Director6
1,The Dark Knight,152,2008,9.0,84,Christopher Nolan,N/A,N/A,N/A,N/A,N/A
2,The Lord of the Rings: The Return of the King,201,2003,9.0,94,Peter Jackson,N/A,N/A,N/A,N/A,N/A
3,Spider-Man: Across the Spider-Verse,140,2023,8.9,86,Joaquim Dos Santos, Kemp Powers, Justin K. Thompson,N/A,N/A,N/A
4,Inception,148,2010,8.8,74,Christopher Nolan,N/A,N/A,N/A,N/A,N/A
5,The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,92,Peter Jackson,N/A,N/A,N/A,N/A,N/A
6,The Lord of the Rings: The Two Towers,179,2002,8.8,87,Peter Jackson,N/A,N/A,N/A,N/A,N/A
7,The Matrix,136,1999,8.7,73,Lana Wachowski, Lilly Wachowski,N/A,N/A,N/A,N/A
8,Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,82,Irvin Kershner,N/A,N/A,N/A,N/A,N/A
9,Soorarai Pottru,153,2020,8.7,N/A,Sudha Kongara,N/A,N/A,N/A,N/A,N/A
10,Terminator 2: Judgment Day,137,1991,8.6,75,James Cameron,N/A,N/A,N/A,N/A,N/A
11,Star Wars: Episode IV - A New Hope,121,1977,8.6,90,George Lucas,N/A,N/A,N/A,N/A,N/A
12,Seven Samurai,207,1954,8.6,98,Akira Kurosawa,N/A,N/A,N/A,N/A,N/A
13,Harakiri,133,1962,8.6,85,Masaki Kobayashi,N/A,N/A,N/A,N/A,N/A
14,Sita Ramam,163,2022,8.6,N/A,Hanu Raghavapudi,N/A,N/A,N/A,N/A,N/A
15,Gladiator,155,2000,8.5,67,Ridley Scott,N/A,N/A,N/A,N/A,N/A
16,Leon,110,1994,8.5,64,Luc Besson,N/A,N/A,N/A,N/A,N/A
17,The Dark Knight Rises,164,2012,8.4,78,Christopher Nolan,N/A,N/A,N/A,N/A,N/A
18,Spider-Man: Into the Spider-Verse,117,2018,8.4,87,Bob Persichetti, Peter Ramsey, Rodney Rothman,N/A,N/A,N/A
19,Raiders of the Lost Ark,115,1981,8.4,85,Steven Spielberg,N/A,N/A,N/A,N/A,N/A
20,Avengers: Endgame,181,2019,8.4,78,Anthony Russo, Joe Russo,N/A,N/A,N/A,N/A
21,Aliens,137,1986,8.4,84,James Cameron,N/A,N/A,N/A,N/A,N/A
22,Oldboy,101,2003,8.4,77,Park Chan-wook,N/A,N/A,N/A,N/A,N/A
23,Avengers: Infinity War,149,2018,8.4,68,Anthony Russo, Joe Russo,N/A,N/A,N/A,N/A
24,Kaithi,145,2019,8.4,N/A,Lokesh Kanagaraj,N/A,N/A,N/A,N/A,N/A
25,Asuran,141,2019,8.4,N/A,Vetrimaaran,N/A,N/A,N/A,N/A,N/A
26,Top Gun: Maverick,130,2022,8.3,78,Joseph Kosinski,N/A,N/A,N/A,N/A,N/A
27,Heat,170,1995,8.3,76,Michael Mann,N/A,N/A,N/A,N/A,N/A
28,Star Wars: Episode VI - Return of the Jedi,131,1983,8.3,58,Richard Marquand,N/A,N/A,N/A,N/A,N/A
29,Princess Mononoke,134,1997,8.3,76,Hayao Miyazaki,N/A,N/A,N/A,N/A,N/A
30,North by Northwest,136,1959,8.3,98,Alfred Hitchcock,N/A,N/A,N/A,N/A,N/A
31,Dangal,161,2016,8.3,N/A,Nitesh Tiwari,N/A,N/A,N/A,N/A,N/A
32,Kantara,148,2022,8.3,N/A,Rishab Shetty,N/A,N/A,N/A,N/A,N/A
33,K.G.F: Chapter 2,168,2022,8.3,N/A,Prashanth Neel,N/A,N/A,N/A,N/A,N/A
34,Vikram,175,2022,8.3,N/A,Lokesh Kanagaraj,N/A,N/A,N/A,N/A,N/A
35,Shershaah,135,2021,8.3,N/A,Vishnuvardhan,N/A,N/A,N/A,N/A,N/A
36,Raatchasan,170,2018,8.3,N/A,Ram Kumar,N/A,N/A,N/A,N/A,N/A
37,Batman Begins,140,2005,8.2,70,Christopher Nolan,N/A,N/A,N/A,N/A,N/A
38,Spider-Man: No Way Home,148,2021,8.2,71,Jon Watts,N/A,N/A,N/A,N/A,N/A
39,Indiana Jones and the Last Crusade,127,1989,8.2,65,Steven Spielberg,N/A,N/A,N/A,N/A,N/A
40,Jurassic Park,127,1993,8.2,68,Steven Spielberg,N/A,N/A,N/A,N/A,N/A
41,1917,119,2019,8.2,78,Sam Mendes,N/A,N/A,N/A,N/A,N/A
42,Kill Bill: Vol,111,2003,8.2,69,Quentin Tarantino,N/A,N/A,N/A,N/A,N/A
43,Die Hard,132,1988,8.2,72,John McTiernan,N/A,N/A,N/A,N/A,N/A
44,V for Vendetta,132,2005,8.2,62,James McTeigue,N/A,N/A,N/A,N/A,N/A
45,Ran,162,1985,8.2,97,Akira Kurosawa,N/A,N/A,N/A,N/A,N/A
46,Demon Slayer the Movie: Mugen Train,117,2020,8.2,72,Haruo Sotozaki,N/A,N/A,N/A,N/A,N/A
47,Gangs of Wasseypur,321,2012,8.2,89,Anurag Kashyap,N/A,N/A,N/A,N/A,N/A
48,Yojimbo,110,1961,8.2,93,Akira Kurosawa,N/A,N/A,N/A,N/A,N/A
49,K.G.F,156,2018,8.2,N/A,Prashanth Neel,N/A,N/A,N/A,N/A,N/A
50,Baahubali 2: The Conclusion,167,2017,8.2,N/A,S.S. Rajamouli,N/A,N/A,N/A,N/A,N/A
51,The Mountain II,135,2016,8.2,N/A,Alper Caglar,N/A,N/A,N/A,N/A,N/A
52,Sherlock Jr.,45,1924,8.2,N/A,Buster Keaton,N/A,N/A,N/A,N/A,N/A
53,Rangasthalam,170,2018,8.2,N/A,Sukumar,N/A,N/A,N/A,N/A,N/A
54,Uri: The Surgical Strike,138,2019,8.2,N/A,Aditya Dhar,N/A,N/A,N/A,N/A,N/A
55,Vikram Vedha,147,2017,8.2,N/A,Gayatri, Pushkar, Gowtham Selvaraj,N/A,N/A,N/A
56,Paan Singh Tomar,135,2012,8.2,N/A,Tigmanshu Dhulia,N/A,N/A,N/A,N/A,N/A
57,Mad Max: Fury Road,120,2015,8.1,90,George Miller,N/A,N/A,N/A,N/A,N/A
58,Pirates of the Caribbean: The Curse of the Black Pearl,143,2003,8.1,63,Gore Verbinski,N/A,N/A,N/A,N/A,N/A
59,Blade Runner,117,1982,8.1,84,Ridley Scott,N/A,N/A,N/A,N/A,N/A
60,The Terminator,107,1984,8.1,84,James Cameron,N/A,N/A,N/A,N/A,N/A
61,Le Mans '66,152,2019,8.1,81,James Mangold,N/A,N/A,N/A,N/A,N/A
62,Logan,137,2017,8.1,77,James Mangold,N/A,N/A,N/A,N/A,N/A
63,Warrior,140,2011,8.1,71,Gavin O'Connor,N/A,N/A,N/A,N/A,N/A
64,Rush,123,2013,8.1,74,Ron Howard,N/A,N/A,N/A,N/A,N/A
65,"Lock, Stock and Two Smoking Barrels",107,1998,8.1,66,Guy Ritchie,N/A,N/A,N/A,N/A,N/A
66,How to Train Your Dragon,98,2010,8.1,75,Dean DeBlois, Chris Sanders,N/A,N/A,N/A,N/A
67,The Iron Giant,86,1999,8.1,85,Brad Bird,N/A,N/A,N/A,N/A,N/A
68,Neon Genesis Evangelion: The End of Evangelion,87,1997,8.1,N/A,Hideaki Anno, Kazuya Tsurumaki,N/A,N/A,N/A,N/A
69,White Heat,114,1949,8.1,89,Raoul Walsh,N/A,N/A,N/A,N/A,N/A
70,The General,78,1926,8.1,N/A,Clyde Bruckman, Buster Keaton,N/A,N/A,N/A,N/A
71,The Hidden Fortress,139,1958,8.1,89,Akira Kurosawa,N/A,N/A,N/A,N/A,N/A
72,Bajrangi Bhaijaan,163,2015,8.1,N/A,Kabir Khan, Mehmet Tutkun,N/A,N/A,N/A,N/A
73,A Wednesday,104,2008,8.1,N/A,Neeraj Pandey,N/A,N/A,N/A,N/A,N/A
74,Sholay,204,1975,8.1,N/A,Ramesh Sippy,N/A,N/A,N/A,N/A,N/A
75,Major,150,2022,8.1,N/A,Sashi Kiran Tikka,N/A,N/A,N/A,N/A,N/A
76,Kaththi,166,2014,8.1,N/A,A.R. Murugadoss,N/A,N/A,N/A,N/A,N/A
77,Sarfarosh,174,1999,8.1,N/A,John Mathew Matthan,N/A,N/A,N/A,N/A,N/A
78,Hera Pheri,156,2000,8.1,N/A,Priyadarshan,N/A,N/A,N/A,N/A,N/A
79,Thuppakki,165,2012,8.1,N/A,A.R. Murugadoss,N/A,N/A,N/A,N/A,N/A
80,Mission: Impossible - Dead Reckoning Part One,163,2023,8.0,81,Christopher McQuarrie,N/A,N/A,N/A,N/A,N/A
81,Guardians of the Galaxy Vol,150,2023,8.0,64,James Gunn,N/A,N/A,N/A,N/A,N/A
82,Dune,155,2021,8.0,74,Denis Villeneuve,N/A,N/A,N/A,N/A,N/A
83,Blade Runner 2049,164,2017,8.0,81,Denis Villeneuve,N/A,N/A,N/A,N/A,N/A
84,Guardians of the Galaxy,121,2014,8.0,76,James Gunn,N/A,N/A,N/A,N/A,N/A
85,The Revenant,156,2015,8.0,76,Alejandro G. Iñárritu,N/A,N/A,N/A,N/A,N/A
86,Deadpool,108,2016,8.0,65,Tim Miller,N/A,N/A,N/A,N/A,N/A
87,Avengers Assemble,143,2012,8.0,69,Joss Whedon,N/A,N/A,N/A,N/A,N/A
88,The Incredibles,115,2004,8.0,90,Brad Bird,N/A,N/A,N/A,N/A,N/A
89,Casino Royale,144,2006,8.0,80,Martin Campbell,N/A,N/A,N/A,N/A,N/A
90,Kill Bill: Vol,137,2004,8.0,83,Quentin Tarantino,N/A,N/A,N/A,N/A,N/A
91,Akira,124,1988,8.0,67,Katsuhiro Ôtomo,N/A,N/A,N/A,N/A,N/A
92,The Bourne Ultimatum,115,2007,8.0,85,Paul Greengrass,N/A,N/A,N/A,N/A,N/A
93,Ip Man,106,2008,8.0,59,Wilson Yip,N/A,N/A,N/A,N/A,N/A
94,Wolfwalkers,103,2020,8.0,87,Tomm Moore, Ross Stewart,N/A,N/A,N/A,N/A
95,Infernal Affairs,101,2002,8.0,75,Andrew Lau, Alan Mak,N/A,N/A,N/A,N/A
96,Baahubali: The Beginning,159,2015,8.0,N/A,S.S. Rajamouli,N/A,N/A,N/A,N/A,N/A
97,Elite Squad,115,2007,8.0,33,José Padilha,N/A,N/A,N/A,N/A,N/A
98,Sanjuro,96,1962,8.0,N/A,Akira Kurosawa,N/A,N/A,N/A,N/A,N/A
99,Haider,160,2014,8.0,N/A,Vishal Bhardwaj,N/A,N/A,N/A,N/A,N/A
100,Brotherhood,140,2004,8.0,64,Je-kyu Kang,N/A,N/A,N/A,N/A,N/A
101,Elite Squad 2: The Enemy Within,115,2010,8.0,71,José Padilha,N/A,N/A,N/A,N/A,N/A
102,Karthikeya 2,150,2022,8.0,N/A,Chandoo Mondeti,N/A,N/A,N/A,N/A,N/A
103,The Breath,128,2009,8.0,N/A,Levent Semerci,N/A,N/A,N/A,N/A,N/A
104,Andaz Apna Apna,160,1994,8.0,N/A,Rajkumar Santoshi,N/A,N/A,N/A,N/A,N/A
105,Arjun Reddy,182,2017,8.0,N/A,Sandeep Reddy Vanga,N/A,N/A,N/A,N/A,N/A
106,1: Nenokkadine,170,2014,8.0,N/A,Sukumar,N/A,N/A,N/A,N/A,N/A
107,Zack Snyder's Justice League,242,2021,7.9,54,Zack Snyder,N/A,N/A,N/A,N/A,N/A
108,Avatar,162,2009,7.9,83,James Cameron,N/A,N/A,N/A,N/A,N/A
109,Edge of Tomorrow,113,2014,7.9,71,Doug Liman,N/A,N/A,N/A,N/A,N/A
110,Iron Man,126,2008,7.9,79,Jon Favreau,N/A,N/A,N/A,N/A,N/A
