Movie_Name,Votes,Gross_collection_millions,Certification,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3
The Dark Knight,2756999,534.86,12A,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Action,Crime,Drama
The Lord of the Rings: The Return of the King,1905424,377.85,12A,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Action,Adventure,Drama
Spider-Man: Across the Spider-Verse,200317,N/A,PG,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,Animation,Action,Adventure
Inception,2447577,292.58,12A,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Action,Adventure,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,1933646,315.54,PG,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Action,Adventure,Drama
The Lord of the Rings: The Two Towers,1719437,342.55,12A,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Action,Adventure,Drama
The Matrix,1977968,171.48,15,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Action,Sci-Fi,
Star Wars: Episode V - The Empire Strikes Back,1334139,290.48,U,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action,Adventure,Fantasy
Soorarai Pottru,120244,N/A,15,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,Action,Drama,
Terminator 2: Judgment Day,1134882,204.84,15,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Action,Sci-Fi,
Star Wars: Episode IV - A New Hope,1406155,322.74,U,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Action,Adventure,Fantasy
Seven Samurai,356006,0.27,A,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Action,Drama,
Harakiri,62707,N/A,X,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Action,Drama,Mystery
Sita Ramam,61843,N/A,12A,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,Action,Drama,Mystery
Gladiator,1551728,187.71,15,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Action,Adventure,Drama
Leon,1201633,19.5,18,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Action,Crime,Drama
The Dark Knight Rises,1763263,448.14,12A,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Action,Drama,Thriller
Spider-Man: Into the Spider-Verse,616626,190.24,PG,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Animation,Action,Adventure
Raiders of the Lost Ark,1007400,248.16,A,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Action,Adventure,
Avengers: Endgame,1202299,858.37,12A,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Action,Adventure,Drama
Aliens,739140,85.16,U,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,Action,Adventure,Sci-Fi
Oldboy,604124,0.71,18,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,Action,Drama,Mystery
Avengers: Infinity War,1144058,678.82,12A,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Action,Adventure,Sci-Fi
Kaithi,36984,N/A,12A,Karthi,Narain,Arjun Das,George Maryan,Action,Adventure,Crime
Asuran,31651,N/A,12A,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,Action,Drama,
Top Gun: Maverick,618475,718.73,12A,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Action,Drama,
Heat,686392,67.44,15,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Action,Crime,Drama
Star Wars: Episode VI - Return of the Jedi,1087496,309.13,U,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action,Adventure,Fantasy
Princess Mononoke,412154,2.38,PG,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Animation,Action,Adventure
North by Northwest,337196,13.28,A,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Action,Adventure,Mystery
Dangal,199949,12.39,PG,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,Action,Biography,Drama
Kantara,97253,N/A,15,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,Action,Adventure,Drama
K.G.F: Chapter 2,141491,6.6,15,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,Action,Crime,Drama
Vikram,65130,N/A,15,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,Action,Crime,Thriller
Shershaah,125817,N/A,16,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,Action,Biography,Drama
Raatchasan,47652,N/A,UA,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,Action,Crime,Drama
Batman Begins,1522895,206.85,12A,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,Action,Crime,Drama
Spider-Man: No Way Home,820220,804.75,12A,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Action,Adventure,Fantasy
Indiana Jones and the Last Crusade,787148,197.17,PG,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,Action,Adventure,
Jurassic Park,1026903,402.45,PG,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Action,Adventure,Sci-Fi
1917,634377,159.23,15,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,Action,Drama,War
Kill Bill: Vol,1151507,70.1,18,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Action,Crime,Thriller
Die Hard,908448,83.01,18,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,Action,Thriller,
V for Vendetta,1148844,70.51,15,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,Action,Drama,Sci-Fi
Ran,130848,4.14,15,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,Action,Drama,War
Demon Slayer the Movie: Mugen Train,66677,47.7,15,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,Animation,Action,Adventure
Gangs of Wasseypur,100114,N/A,18,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,Action,Comedy,Crime
